date,censoring,Share_of_Blocks
2023-03-16,censoring,52.412979351032455
2023-03-17,non-censoring,56.034684790250765
2023-03-17,censoring,43.96531520974924
2023-03-18,non-censoring,59.67122630189585
2023-03-18,censoring,40.32877369810415
2023-03-19,non-censoring,53.06473406215453
2023-03-19,censoring,46.93526593784547
2023-03-20,non-censoring,56.27226463104326
2023-03-20,censoring,43.72773536895674
2023-03-21,non-censoring,52.8727092620109
2023-03-21,censoring,47.1272907379891
2023-03-22,non-censoring,53.613053613053616
2023-03-22,censoring,46.386946386946384
2023-03-23,non-censoring,54.84458474987858
2023-03-23,censoring,45.155415250121415
2023-03-24,non-censoring,57.22958741172097
2023-03-24,censoring,42.77041258827902
2023-03-25,non-censoring,54.104386179857876
2023-03-25,censoring,45.895613820142124
2023-03-26,non-censoring,66.10547165139886
2023-03-26,censoring,33.89452834860114
2023-03-27,non-censoring,66.61691542288557
2023-03-27,censoring,33.38308457711443
2023-03-28,non-censoring,61.174571641420414
2023-03-28,censoring,38.825428358579586
2023-03-29,non-censoring,58.69700360561979
2023-03-29,censoring,41.3029963943802
2023-03-30,non-censoring,58.017747781527305
2023-03-30,censoring,41.982252218472695
2023-03-31,non-censoring,61.18222891566265
2023-03-31,censoring,38.81777108433735
2023-04-01,non-censoring,62.38011105502272
2023-04-01,censoring,37.61988894497728
2023-04-02,non-censoring,61.86193793540215
2023-04-02,censoring,38.13806206459785
2023-04-03,non-censoring,62.438594281395645
2023-04-03,censoring,37.561405718604355
2023-04-04,non-censoring,59.62897526501767
2023-04-04,censoring,40.37102473498233
2023-04-05,non-censoring,61.74397031539889
2023-04-05,censoring,38.25602968460111
2023-04-06,non-censoring,61.11179893524824
2023-04-06,censoring,38.88820106475176
2023-04-07,non-censoring,63.719400803799786
2023-04-07,censoring,36.28059919620022
2023-04-08,non-censoring,63.343391671695834
2023-04-08,censoring,36.656608328304166
2023-04-09,non-censoring,64.12604042806183
2023-04-09,censoring,35.873959571938165
2023-04-10,non-censoring,66.75374020422701
2023-04-10,censoring,33.24625979577298
2023-04-11,non-censoring,64.36960690316394
2023-04-11,censoring,35.63039309683605
2023-04-12,non-censoring,68.87643187911284
2023-04-12,censoring,31.123568120887157
2023-04-13,non-censoring,67.97144263909404
2023-04-13,censoring,32.02855736090596
2023-04-14,non-censoring,74.25767488676397
2023-04-14,censoring,25.742325113236035
2023-04-15,non-censoring,70.11197243755383
2023-04-15,censoring,29.88802756244617
2023-04-16,non-censoring,67.77436140018922
2023-04-16,censoring,32.225638599810786
2023-04-17,non-censoring,67.49551703526599
2023-04-17,censoring,32.50448296473401
2023-04-18,non-censoring,65.9857248338666
2023-04-18,censoring,34.0142751661334
2023-04-19,non-censoring,71.5497111957724
2023-04-19,censoring,28.450288804227604
2023-04-20,non-censoring,71.08359133126935
2023-04-20,censoring,28.916408668730647
2023-04-21,non-censoring,66.92874079620617
2023-04-21,censoring,33.071259203793836
2023-04-22,non-censoring,57.363659210857
2023-04-22,censoring,42.636340789143
2023-04-23,non-censoring,64.78452906768533
2023-04-23,censoring,35.215470932314666
2023-04-24,non-censoring,66.51540482445665
2023-04-24,censoring,33.48459517554335
2023-04-25,non-censoring,59.980783089118425
2023-04-25,censoring,40.019216910881575
2023-04-26,non-censoring,54.97047837088805
2023-04-26,censoring,45.02952162911194
2023-04-27,non-censoring,53.24550898203593
2023-04-27,censoring,46.75449101796407
2023-04-28,non-censoring,62.98716730038023
2023-04-28,censoring,37.01283269961977
2023-04-29,non-censoring,68.43992827256426
2023-04-29,censoring,31.560071727435744
2023-04-30,non-censoring,72.81235376696303
2023-04-30,censoring,27.187646233036965
2023-05-01,non-censoring,70.43726235741445
2023-05-01,censoring,29.562737642585553
2023-05-02,non-censoring,73.4202726733847
2023-05-02,censoring,26.579727326615295
2023-05-03,non-censoring,69.8842169408897
2023-05-03,censoring,30.115783059110296
2023-05-04,non-censoring,64.76248477466504
2023-05-04,censoring,35.23751522533496
2023-05-05,non-censoring,65.2885443583118
2023-05-05,censoring,34.7114556416882
2023-05-06,non-censoring,59.804040159670976
2023-05-06,censoring,40.195959840329024
2023-05-07,non-censoring,61.73146193019501
2023-05-07,censoring,38.26853806980499
2023-05-08,non-censoring,61.87147412312976
2023-05-08,censoring,38.12852587687024
2023-05-09,non-censoring,60.8560794044665
2023-05-09,censoring,39.1439205955335
2023-05-10,non-censoring,60.076942169272776
2023-05-10,censoring,39.923057830727224
2023-05-11,non-censoring,60.51665034280117
2023-05-11,censoring,39.48334965719882
2023-05-12,non-censoring,60.29551954242135
2023-05-12,censoring,39.70448045757865
2023-05-13,non-censoring,64.0
2023-05-13,censoring,36.0
2023-05-14,non-censoring,63.13009530370881
2023-05-14,censoring,36.869904696291194
2023-05-15,non-censoring,64.0625
2023-05-15,censoring,35.9375
2023-05-16,non-censoring,61.44423705086327
2023-05-16,censoring,38.55576294913672
2023-05-17,non-censoring,59.91323719076094
2023-05-17,censoring,40.08676280923907
2023-05-18,non-censoring,61.87314759928868
2023-05-18,censoring,38.12685240071132
2023-05-19,non-censoring,63.89810426540284
2023-05-19,censoring,36.10189573459716
2023-05-20,non-censoring,62.54817236949667
2023-05-20,censoring,37.451827630503324
2023-05-21,non-censoring,63.59228904536535
2023-05-21,censoring,36.40771095463465
2023-05-22,non-censoring,67.84309187688035
2023-05-22,censoring,32.15690812311965
2023-05-23,non-censoring,65.69911504424779
2023-05-23,censoring,34.30088495575222
2023-05-24,non-censoring,61.0056258790436
2023-05-24,censoring,38.9943741209564
2023-05-25,non-censoring,61.93775689958896
2023-05-25,censoring,38.06224310041104
2023-05-26,non-censoring,64.80876865671642
2023-05-26,censoring,35.19123134328358
2023-05-27,non-censoring,65.8449074074074
2023-05-27,censoring,34.155092592592595
2023-05-28,non-censoring,68.81757935123822
2023-05-28,censoring,31.18242064876177
2023-05-29,non-censoring,71.65701042873697
2023-05-29,censoring,28.34298957126304
2023-05-30,non-censoring,69.27125979646742
2023-05-30,censoring,30.728740203532578
2023-05-31,non-censoring,66.79995295777961
2023-05-31,censoring,33.20004704222039
2023-06-01,non-censoring,66.41417084255914
2023-06-01,censoring,33.585829157440855
2023-06-02,non-censoring,67.00802979169092
2023-06-02,censoring,32.99197020830909
2023-06-03,non-censoring,63.31816590829541
2023-06-03,censoring,36.68183409170459
2023-06-04,non-censoring,65.04227336777831
2023-06-04,censoring,34.9577266322217
2023-06-05,non-censoring,65.26142251530852
2023-06-05,censoring,34.738577484691476
2023-06-06,non-censoring,70.60747663551402
2023-06-06,censoring,29.392523364485985
2023-06-07,non-censoring,71.68597168597168
2023-06-07,censoring,28.314028314028317
2023-06-08,non-censoring,65.93367826904985
2023-06-08,censoring,34.066321730950136
2023-06-09,non-censoring,63.924963924963926
2023-06-09,censoring,36.075036075036074
2023-06-10,non-censoring,56.00044488933378
2023-06-10,censoring,43.99955511066622
2023-06-11,non-censoring,49.86651835372636
2023-06-11,censoring,50.13348164627364
2023-06-12,non-censoring,55.05198915009042
2023-06-12,censoring,44.948010849909586
2023-06-13,non-censoring,63.122668422207596
2023-06-13,censoring,36.877331577792404
2023-06-14,non-censoring,60.918658188993646
2023-06-14,censoring,39.08134181100636
2023-06-15,non-censoring,66.04481730875372
2023-06-15,censoring,33.95518269124627
2023-06-16,non-censoring,68.02338655273218
2023-06-16,censoring,31.97661344726782
2023-06-17,non-censoring,71.47867405815137
2023-06-17,censoring,28.521325941848623
2023-06-18,non-censoring,61.230702326592734
2023-06-18,censoring,38.76929767340726
2023-06-19,non-censoring,56.183631878150806
2023-06-19,censoring,43.816368121849194
2023-06-20,non-censoring,58.63453815261044
2023-06-20,censoring,41.365461847389554
2023-06-21,non-censoring,60.72968490878938
2023-06-21,censoring,39.27031509121061
2023-06-22,non-censoring,62.30522709691678
2023-06-22,censoring,37.69477290308321
2023-06-23,non-censoring,61.792296655998236
2023-06-23,censoring,38.207703344001764
2023-06-24,non-censoring,64.18295039725145
2023-06-24,censoring,35.817049602748554
2023-06-25,non-censoring,60.85756739545744
2023-06-25,censoring,39.14243260454256
2023-06-26,non-censoring,66.677201854193
2023-06-26,censoring,33.322798145807
2023-06-27,non-censoring,62.61998254799301
2023-06-27,censoring,37.38001745200698
2023-06-28,non-censoring,60.47159699892819
2023-06-28,censoring,39.52840300107181
2023-06-29,non-censoring,56.53377062621707
2023-06-29,censoring,43.46622937378293
2023-06-30,non-censoring,60.45400238948626
2023-06-30,censoring,39.54599761051374
2023-07-01,non-censoring,64.50127376053302
2023-07-01,censoring,35.49872623946698
2023-07-02,non-censoring,58.87299439396868
2023-07-02,censoring,41.12700560603131
2023-07-03,non-censoring,59.21015247656028
2023-07-03,censoring,40.78984752343972
2023-07-04,non-censoring,60.98348205809759
2023-07-04,censoring,39.016517941902414
2023-07-05,non-censoring,62.6273203236554
2023-07-05,censoring,37.3726796763446
2023-07-06,non-censoring,70.34139402560456
2023-07-06,censoring,29.658605974395446
2023-07-07,non-censoring,63.6347081853774
2023-07-07,censoring,36.365291814622594
2023-07-08,non-censoring,59.6321039626613
2023-07-08,censoring,40.3678960373387
2023-07-09,non-censoring,50.140717203812976
2023-07-09,censoring,49.85928279618702
2023-07-10,non-censoring,49.8918139199423
2023-07-10,censoring,50.108186080057706
2023-07-11,non-censoring,48.42360549717058
2023-07-11,censoring,51.57639450282942
2023-07-12,non-censoring,51.919791385666755
2023-07-12,censoring,48.080208614333245
2023-07-13,non-censoring,56.3360269958263
2023-07-13,censoring,43.6639730041737
2023-07-14,non-censoring,58.776095331959496
2023-07-14,censoring,41.223904668040504
2023-07-15,non-censoring,62.96262944619541
2023-07-15,censoring,37.03737055380459
2023-07-16,non-censoring,54.20862625878776
2023-07-16,censoring,45.79137374121224
2023-07-17,non-censoring,52.3725671918443
2023-07-17,censoring,47.6274328081557
2023-07-18,non-censoring,55.1137947050627
2023-07-18,censoring,44.8862052949373
2023-07-19,non-censoring,55.24325333831357
2023-07-19,censoring,44.75674666168643
2023-07-20,non-censoring,46.62802465728218
2023-07-20,censoring,53.371975342717825
2023-07-21,non-censoring,43.03559688175073
2023-07-21,censoring,56.96440311824927
2023-07-22,non-censoring,43.96872673119881
2023-07-22,censoring,56.03127326880119
2023-07-23,non-censoring,40.76782449725777
2023-07-23,censoring,59.23217550274224
2023-07-24,non-censoring,41.58013544018059
2023-07-24,censoring,58.41986455981941
2023-07-25,non-censoring,41.79840994242895
2023-07-25,censoring,58.20159005757105
2023-07-26,non-censoring,43.53523320810043
2023-07-26,censoring,56.46476679189957
2023-07-27,non-censoring,43.96835860250494
2023-07-27,censoring,56.03164139749506
2023-07-28,non-censoring,44.992974238875874
2023-07-28,censoring,55.00702576112412
2023-07-29,non-censoring,45.64294207576015
2023-07-29,censoring,54.35705792423985
2023-07-30,non-censoring,45.8488120950324
2023-07-30,censoring,54.1511879049676
2023-07-31,non-censoring,54.98899163364157
2023-07-31,censoring,45.01100836635843
2023-08-01,non-censoring,54.27626137303556
2023-08-01,censoring,45.72373862696443
2023-08-02,non-censoring,50.111022997620935
2023-08-02,censoring,49.888977002379065
2023-08-03,non-censoring,42.38898902179256
2023-08-03,censoring,57.611010978207446
2023-08-04,non-censoring,55.71404313126167
2023-08-04,censoring,44.285956868738324
2023-08-05,non-censoring,51.43409874674069
2023-08-05,censoring,48.56590125325931
2023-08-06,non-censoring,55.7189811010682
2023-08-06,censoring,44.2810188989318
2023-08-07,non-censoring,54.835832995541146
2023-08-07,censoring,45.164167004458854
2023-08-08,non-censoring,59.61522784706938
2023-08-08,censoring,40.38477215293062
2023-08-09,non-censoring,59.69379264436678
2023-08-09,censoring,40.30620735563322
2023-08-10,non-censoring,30.623571661769507
2023-08-10,censoring,69.37642833823048
2023-08-11,non-censoring,34.647589626859606
2023-08-11,censoring,65.35241037314039
2023-08-12,non-censoring,30.904238110643806
2023-08-12,censoring,69.0957618893562
2023-08-13,non-censoring,27.671407007229682
2023-08-13,censoring,72.32859299277031
2023-08-14,non-censoring,29.817476982716844
2023-08-14,censoring,70.18252301728315
2023-08-15,non-censoring,31.508603441376547
2023-08-15,censoring,68.49139655862345
2023-08-16,non-censoring,33.50394020635307
2023-08-16,censoring,66.49605979364692
2023-08-17,non-censoring,32.548295235896255
2023-08-17,censoring,67.45170476410375
2023-08-18,non-censoring,30.64503669370413
2023-08-18,censoring,69.35496330629587
2023-08-19,non-censoring,29.891640866873065
2023-08-19,censoring,70.10835913312692
2023-08-20,non-censoring,37.30661932538676
2023-08-20,censoring,62.693380674613245
2023-08-21,non-censoring,36.976763694320944
2023-08-21,censoring,63.023236305679056
2023-08-22,non-censoring,37.19086873811034
2023-08-22,censoring,62.80913126188966
2023-08-23,non-censoring,38.72980323148296
2023-08-23,censoring,61.27019676851704
2023-08-24,non-censoring,36.90466756478326
2023-08-24,censoring,63.09533243521673
2023-08-25,non-censoring,29.439885268106124
2023-08-25,censoring,70.56011473189388
2023-08-26,non-censoring,28.17058589079314
2023-08-26,censoring,71.82941410920685
2023-08-27,non-censoring,33.06759674472679
2023-08-27,censoring,66.93240325527321
